Name,Phone,Quote,Rarity,Email,Group Membership
Shelly,36137771,Bling bling!,Starting,super.shelly@gmail.com,Wildlands
Colt,48853139,I want my mommy!,Rare,crazy.colt@gmail.com,Wildlands
Spike,40401546,<silence>,Legendary,silent.spike@gmail.com,Wildlands
Frank,20036222,<groan>,Epic,friendly.frank@gmail.com,Cemetery
Mortis,82972465,Creature of the night,Mythic,mean.mortis@gmail.com,Cemetery
Emz,78510095,Hair spray time!,Epic,emo.emz@gmail.com,Cemetery
Bull,86687661,Don't mess with the bull!,Rare,brave.bull@gmail.com,Cafe
Crow,90087924,Swimming with the fishes!,Legendary,cunning.crow@gmail.com,Cafe
Bibi,25375366,I'm a copycat.,Epic,brilliant.bibi@gmail.com,Cafe
Bo,12010888,"Fly, like an eagle!",Epic,bold.bo@gmail.com,Jungle
Leon,12621466,Sneaky time!,Legendary,laughing.leon@gmail.com,Jungle
Nita,22114459,NITA!!!,Rare,nice.nita@gmail.com,Jungle
Tara,72325827,<nothing>,Mythic,true.tara@gmail.com,Desert
Gene,43676325,<hehehehblalabu>,Mythic,genius.gene@gmail.com,Desert
Sandy,94260515,Sand shroud!,Legendary,sleepy.sandy@gmail.com,Desert
Meg,31272596,"The last time I fired a gun, I was at ""The Academy""!",Legendary,mecha.meg@gmail.com,Mechanics
Surge,95114436,Beep bop bop.,Legendary,strong.surge@gmail.com,Mechanics
Max,43853648,Gogogogogogogo!,Mythic,miss.max@gmail.com,Mechanics
El Primo,23348278,Fists of fury!,Rare,entertainer.elprimo@gmail.com,Mexico
Poco,53234993,Let's get this party started!,Rare,player.poco@gmail.com,Mexico
Amber,53506099,"Wow, so much heat!",Legendary,accidental.amber@gmail.com,Mexico
Edgar,40463388,LOL,Epic,emo.edgar@gmail.com,Gift Shop
Colette,61507599,THIS IS SOOOOO COOOOL!!!,Epic,cuckoo.colette@gmail.com,Gift Shop
Griff,26652094,YOU JUST COST ME A SALE!,Epic,great.griff@gmail.com,Gift Shop
