Name,Phone,Email,Group Membership
Shelly,36137771,super.shelly@gmail.com,
Colt,48853139,crazy.colt@gmail.com,
Spike,40401546,silent.spike@gmail.com,
Frank,20036222,friendly.frank@gmail.com,
Mortis,82972465,mean.mortis@gmail.com,
Emz,78510095,emo.emz@gmail.com,
Bull,86687661,brave.bull@gmail.com,
Crow,90087924,cunning.crow@gmail.com,
Bibi,25375366,brilliant.bibi@gmail.com,
Bo,12010888,bold.bo@gmail.com,
Leon,12621466,laughing.leon@gmail.com,
Nita,22114459,nice.nita@gmail.com,
Tara,72325827,true.tara@gmail.com,
Gene,43676325,genius.gene@gmail.com,
Sandy,94260515,sleepy.sandy@gmail.com,
Meg,31272596,mecha.meg@gmail.com,
Surge,95114436,strong.surge@gmail.com,
Max,43853648,miss.max@gmail.com,
El Primo,23348278,entertainer.elprimo@gmail.com,
Poco,53234993,player.poco@gmail.com,
Amber,53506099,accidental.amber@gmail.com,
Edgar,40463388,emo.edgar@gmail.com,
Colette,61507599,cuckoo.colette@gmail.com,
Griff,26652094,great.griff@gmail.com,
