Name,Phone,Email,Group Membership
Shelly,36137771,super.shelly@gmail.com,Wildlands
Colt,48853139,crazy.colt@gmail.com,Wildlands
Spike,40401546,silent.spike@gmail.com,Wildlands
Frank,20036222,friendly.frank@gmail.com,Cemetery
Mortis,82972465,mean.mortis@gmail.com,Cemetery
Emz,78510095,emo.emz@gmail.com,Cemetery
Bull,86687661,brave.bull@gmail.com,Cafe
Crow,90087924,cunning.crow@gmail.com,Cafe
Bibi,25375366,brilliant.bibi@gmail.com,Cafe
Bo,12010888,bold.bo@gmail.com,Jungle
Leon,12621466,laughing.leon@gmail.com,Jungle
Nita,22114459,nice.nita@gmail.com,Jungle
Tara,72325827,true.tara@gmail.com,Desert
Gene,43676325,genius.gene@gmail.com,Desert
Sandy,94260515,sleepy.sandy@gmail.com,Desert
Meg,31272596,mecha.meg@gmail.com,Mechanics
Surge,95114436,strong.surge@gmail.com,Mechanics
Max,43853648,miss.max@gmail.com,Mechanics
El Primo,23348278,entertainer.elprimo@gmail.com,Mexico
Poco,53234993,player.poco@gmail.com,Mexico
Amber,53506099,accidental.amber@gmail.com,Mexico
Edgar,40463388,emo.edgar@gmail.com,Gift Shop
Colette,61507599,cuckoo.colette@gmail.com,Gift Shop
Griff,26652094,great.griff@gmail.com,Gift Shop
